.,English
quest.name,Hunt02A Tracking
quest.description,Scenario 4...
Token21.button1,{action} Search for tracks
EventDifficultyAdjuster.button1,Button1
EventDifficultyAddTrack000.button1,Button1
EventTrackingFailure.text,You can't find anything that resembles the tracks you're looking for.\nIf you had it, you lost it and maybe that is the way it is. \nMaybe you never had it at all.
EventTrackingFailure.button1,Continue
EventTracking0B.button1,Button1
EventTracking0A.button1,Button1
Eventpath001.button1,Button1
EventS1.button2,Button2
Tokens_Yard2_to_TownSquare.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_Yard2_to_TownSquare.button1,Reveal
Tokens_Yard2_to_RootCellar.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_Yard2_to_RootCellar.button1,Reveal
Tokens_Yard2_to_ParkPond.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_Yard2_to_ParkPond.button1,Reveal
Tokens_Yard1_to_Street2.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_Yard1_to_Street2.button1,Reveal
Tokens_Yard1_to_ParkPond.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_Yard1_to_ParkPond.button1,Reveal
Tokens_Yard1_to_Conservatory.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_Yard1_to_Conservatory.button1,Reveal
Tokens_TownSquare_to_Yard2.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_TownSquare_to_Yard2.button1,Reveal
Tokens_TownSquare_to_StreetCorner2.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_TownSquare_to_StreetCorner2.button1,Reveal
Tokens_TownSquare_to_StreetCorner1.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_TownSquare_to_StreetCorner1.button1,Reveal
Tokens_TownSquare_to_ParkPond.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_TownSquare_to_ParkPond.button1,Reveal
Tokens_ToolShed_to_RootCellar.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_ToolShed_to_RootCellar.button1,Reveal
Tokens_ToolShed_to_RentalDock.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_ToolShed_to_RentalDock.button1,Reveal
Tokens_ToolShed_to_Pier.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_ToolShed_to_Pier.button1,Reveal
Tokens_ToolShed_to_ParkPond.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_ToolShed_to_ParkPond.button1,Reveal
Tokens_ToolShed_to_Conservatory.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_ToolShed_to_Conservatory.button1,Reveal
Tokens_StreetCorner2_to_TownSquare.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_StreetCorner2_to_TownSquare.button1,Reveal
Tokens_StreetCorner2_to_Street2.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_StreetCorner2_to_Street2.button1,Reveal
Tokens_StreetCorner2_to_ParkPond.text,There's more in this direction. An investigator in the {c:Yard2} may reveal the adjacent area.
Tokens_StreetCorner2_to_ParkPond.button1,Reveal
